diet,temperature,treatment,sex,animal_weight,gonad_weight,GSI,L_star,a_star,b_star
formulated,ambient,fa,female,26.436,6.958,26.32016946587986,55.63333333333333,21.3,34.800000000000004
formulated,ambient,fa,male,20.804,2.755,13.242645645068258,60.06666666666666,25.900000000000002,-29.266666666666666
formulated,ambient,fa,male,20.54,3.014,14.673807205452775,58.73333333333333,23.53333333333333,-30.566666666666674
formulated,ambient,fa,male,23.228,4.291,18.47339417943861,51.666666666666664,17.666666666666668,-6.333333333333333
formulated,ambient,fa,female,27.595,6.17,22.359123029534338,52.833333333333336,25.7,2.1666666666666665
formulated,ambient,fa,male,32.443,8.487,26.15972628918411,59.699999999999996,7.566666666666667,27.733333333333334
formulated,ambient,fa,male,25.475,6.509,25.55053974484789,67.93333333333334,5.433333333333334,33.13333333333333
formulated,ambient,fa,male,28.034,3.88,13.8403367339659,56.73333333333333,13.299999999999999,27.133333333333336
formulated,ambient,fa,female,22.602,5.707,25.249977878063888,60.199999999999996,14.633333333333335,28.866666666666664
formulated,ambient,fa,female,34.558,9.621,27.840152786619598,57.6,16.099999999999998,28.8
formulated,ambient,fa,female,35.359,10.367,29.31926807884839,60.833333333333336,9.266666666666667,25.7
formulated,ambient,fa,female,32.631,9.452,28.966320370200116,63.56666666666666,9.633333333333333,25.36666666666667
formulated,ambient,fa,female,33.579,10.01,29.81029810298103,59.63333333333333,11.4,16.733333333333334
formulated,ambient,fa,female,27.972,8.345,29.833404833404835,58.96666666666667,13.333333333333334,24.53333333333333
formulated,ambient,fa,female,28.836,9.628,33.38881953114163,70.46666666666667,3.6,21.666666666666668
formulated,ambient,fa,female,31.326,7.59,24.229074889867842,65.66666666666666,10.633333333333333,1.0666666666666667
formulated,ambient,fa,female,36.699,11.788,32.120766233412354,70.8,11.433333333333332,-3.8666666666666667
formulated,ambient,fa,female,33.823,10.008,29.58933270259882,51.5,12.5,24.833333333333332
formulated,ambient,fa,female,35.564,11.001,30.93296592059386,65.96666666666667,9.633333333333335,26.733333333333334
formulated,ambient,fa,female,26.436,7.24,27.38689665607505,61.4,11.200000000000001,28.200000000000003
formulated,warm,fw,female,32.348,5.56,17.188079633980465,47.53333333333333,20.6,42.13333333333333
formulated,warm,fw,male,27.211,4.146,15.23648524493771,53.866666666666674,16.766666666666666,25.766666666666666
formulated,warm,fw,male,28.641,6.785,23.689815299745124,56.53333333333334,26.3,-22.96666666666667
formulated,warm,fw,male,25.912,5.239,20.218431614695895,52.23333333333333,12.466666666666667,15.433333333333332
formulated,warm,fw,female,26.429,7.498,28.370350751068905,54,11.866666666666667,27.233333333333334
formulated,warm,fw,female,24.347,6.709,27.555756356019216,60.233333333333334,12.133333333333333,34.166666666666664
formulated,warm,fw,female,24.855,6.074,24.43773888553611,61.53333333333333,15.199999999999998,-3.266666666666667
formulated,warm,fw,male,28.208,6.245,22.139109472490077,54.833333333333336,7.366666666666667,23.8
